name,ra,dec,redshift,muv,jmag,instrument,publication
J0315-6844,48.949742,-68.734899,6.6,-25.42,21.26,FIRE,Yang et al. (2026)
J1732+6016,263.181151,+60.270166,6.61,-25.37,21.3,KCWI,Yang et al. (2026)
J1811+6145,272.997937,+61.765045,6.63,-24.6,22.07,KCWI,Yang et al. (2026)
J0446-5700,71.741084,-57.012953,6.64,-24.19,22.48,FIRE,Yang et al. (2026)
J0916+6836,139.166382,+68.614707,6.64,-24.94,21.73,KCWI,Yang et al. (2026)
J0451-3426,72.950812,-34.439495,6.65,-24.57,22.1,FIRE,Yang et al. (2026)
J1155+7046,178.845359,+70.770091,6.65,-23.84,22.83,LRIS,Yang et al. (2026)
J0443-5332,70.859450,-53.537479,6.67,-24.45,22.22,FIRE,Yang et al. (2026)
J1537+5829,234.344820,+58.490877,6.68,-24.1,22.58,KCWI,Yang et al. (2026)
J1505+7734,226.405493,+77.578067,6.72,-24.52,22.06,LRIS,Yang et al. (2026)
J1434+6857,218.700250,+68.959234,6.82,-23.67,23.04,LRIS,Yang et al. (2026)
J0252-4125,43.043208,-41.426065,6.83,-25.32,21.39,FIRE,Yang et al. (2026)
J1543+4718,235.997269,+47.302897,6.84,-24.35,22.36,KCWI,Yang et al. (2026)
J1707+6502,256.782855,+65.047969,6.84,-24.46,22.25,KCWI,Yang et al. (2026)
J0250-5317,42.624714,-53.285189,6.86,-25.17,21.55,FIRE,Yang et al. (2026)
J0526-4609,81.689089,-46.150746,6.89,-25.19,21.54,FIRE,Yang et al. (2026)
J0502-3849,75.670542,-38.818361,6.9,-25.46,21.27,FIRE,Yang et al. (2026)
J1555+5152,238.967024,+51.882984,6.95,-24.53,22.22,KCWI,Yang et al. (2026)
J0933+7427,143.377504,+74.458337,6.96,-24.98,21.77,MOSFIRE,Yang et al. (2026)
J1614+4528,243.626305,+45.479758,7.0,-23.8,22.97,KCWI,Yang et al. (2026)
J1722+5741,260.742953,+57.692646,7.01,-23.93,22.84,KCWI,Yang et al. (2026)
J1340+6747,205.131289,+67.787491,7.05,-23.67,23.12,KCWI,Yang et al. (2026)
J0412-5639,63.211394,-56.663811,7.17,-24.41,22.42,FIRE,Yang et al. (2026)
J1631+6259,247.922375,+62.989052,7.33,-24.69,22.19,MOSFIRE,Yang et al. (2026)
J1418+6949,214.672045,+69.825163,7.35,-24.0,22.88,KCWI,Yang et al. (2026)
J1445+7143,221.440915,+71.728429,7.36,-24.1,22.78,MOSFIRE,Yang et al. (2026)
J1355+7000,208.893976,+70.015425,7.45,-25.01,21.89,MOSFIRE,Yang et al. (2026)
J0522-5127,80.540932,-51.452555,7.5,-24.75,22.17,FIRE,Yang et al. (2026)
J1012+6630,153.232810,+66.516105,7.61,-23.98,23.0,MOSFIRE,Yang et al. (2026)
J1253+7054,193.285628,+70.908983,7.69,-24.06,22.97,MOSFIRE,Yang et al. (2026)
J1729+6410,262.261445,+64.171690,7.77,-25.05,22.02,MOSFIRE,Yang et al. (2026)
